ID,Housing_Price,Year,Postcode,Type,Town_City,District,County,Short_Postcode
{AC07BBCF-D90F-0445-E053-6C04A8C01E31},306500,2020-05-29,BS14 8NR,S,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS14
{AC07BBCF-D910-0445-E053-6C04A8C01E31},559000,2020-03-24,BS3 1PE,T,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS3
{AC07BBCF-D911-0445-E053-6C04A8C01E31},265000,2020-06-30,BS5 8DY,T,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS5
{AC07BBCF-D912-0445-E053-6C04A8C01E31},328222,2020-06-03,BS7 9LT,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS7
{AC07BBCF-D913-0445-E053-6C04A8C01E31},154700,2020-06-30,BS3 3NB,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS3
{AC07BBCF-D914-0445-E053-6C04A8C01E31},295000,2020-06-05,BS7 9LS,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS7
{AC07BBCF-D915-0445-E053-6C04A8C01E31},216500,2020-05-22,BS4 4AN,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS4
{AC07BBCF-D916-0445-E053-6C04A8C01E31},180000,2020-06-12,BS6 5TN,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS6
{AC07BBCF-D917-0445-E053-6C04A8C01E31},191500,2020-02-21,BS7 9NN,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS7
{AC07BBCF-D918-0445-E053-6C04A8C01E31},825000,2020-06-26,BS8 3LB,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS8
{AC07BBCF-D919-0445-E053-6C04A8C01E31},410000,2020-05-29,BS1 6UW,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS1
{AC07BBCF-D91A-0445-E053-6C04A8C01E31},180000,2020-03-13,BS5 7PL,T,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS5
{AC07BBCF-D91B-0445-E053-6C04A8C01E31},300000,2020-06-19,BS7 0HH,T,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS7
{AC07BBCF-D91C-0445-E053-6C04A8C01E31},288000,2020-06-01,BS5 0SU,T,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS5
{AC07BBCF-D91D-0445-E053-6C04A8C01E31},289000,2020-06-26,BS3 1RE,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS3
{AC07BBCF-D91F-0445-E053-6C04A8C01E31},195000,2020-06-05,BS5 7BG,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS5
{AC07BBCF-D920-0445-E053-6C04A8C01E31},420000,2020-05-29,BS8 2BD,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS8
{AC07BBCF-D921-0445-E053-6C04A8C01E31},272500,2020-06-17,BS4 3AQ,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS4
{AC07BBCF-D922-0445-E053-6C04A8C01E31},370000,2020-06-01,BS6 6XB,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS6
{AC07BBCF-D923-0445-E053-6C04A8C01E31},370000,2020-06-19,BS5 8FP,S,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS5
{AC07BBCF-D924-0445-E053-6C04A8C01E31},275000,2020-06-04,BS2 0FS,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS2
{AC07BBCF-D925-0445-E053-6C04A8C01E31},105000,2020-05-28,BS5 7XT,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS5
{AC07BBCF-D926-0445-E053-6C04A8C01E31},235000,2020-06-15,BS9 3ET,D,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS9
{AC07BBCF-D927-0445-E053-6C04A8C01E31},318000,2020-06-16,BS1 2NR,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS1
{AC07BBCF-D928-0445-E053-6C04A8C01E31},195000,2020-06-01,BS5 6HL,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS5
{AC07BBCF-D929-0445-E053-6C04A8C01E31},358000,2020-06-11,BS1 2NR,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS1
{AC07BBCF-D92A-0445-E053-6C04A8C01E31},395000,2020-06-12,BS9 4AT,T,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS9
{AC07BBCF-D92B-0445-E053-6C04A8C01E31},445000,2020-06-16,BS3 5DR,T,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS3
{AC07BBCF-D92D-0445-E053-6C04A8C01E31},243000,2020-06-23,BS5 6SY,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS5
{AC07BBCF-D92E-0445-E053-6C04A8C01E31},160000,2020-06-12,BS7 0LF,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS7
{AC07BBCF-D92F-0445-E053-6C04A8C01E31},210000,2020-06-05,BS3 1BF,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS3
{AC07BBCF-D930-0445-E053-6C04A8C01E31},396000,2020-06-25,BS6 6PT,F,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,BS6
